claim_id,paper,category,result,basis,status,coarse_status,strategic_tracks,audit_priority,notes,nativeness_class,native_note,native_target_rewrite,native_priority
P3-007,P3,Foundations (Lean-verified at stated layer),Rindler stationarity / Unruh (AQFT layer),Lean 4 + AQFT,LV conditional^\dagger,LV,core-foundation,High,inherits disclosed Lean/QFT gap,deferred-bridge,AQFT/Unruh adapter.,Observer/readout invariance of actualization status on the same realized graph.,4
P3-008,P3,GR derivation (continuum translation of discrete layer),G_{\mu\nu}=8\pi G P_{act}[T_{\mu\nu}],BDG uniqueness + P_{act},DR,DR,GR-domain-recovery,High,,deferred-bridge,Continuum field-equation bridge.,"Direct measurable gravitational/cosmological observables, not continuum field-equation recovery.",4
P3-009,P3,GR derivation (continuum translation of discrete layer),\Lambda=0 exactly,P_{act} structure,DR,DR,GR-domain-recovery,High,,deferred-bridge,Λ=0 in this form is packaged through the bridge.,"Direct measurable gravitational/cosmological observables, not continuum field-equation recovery.",4
P3-010,P3,GR derivation (continuum translation of discrete layer),Bianchi as continuum image of LLC,BD limit of LLC,DR (translation claim),DR,GR-domain-recovery,High,,deferred-bridge,Continuum translation claim.,"Direct measurable gravitational/cosmological observables, not continuum field-equation recovery.",4
P3-011,P3,GR derivation (continuum translation of discrete layer),Lorentz as continuum image of causal invariance,BD limit of discrete causal invariance,DR conditional^\dagger,DR,GR-domain-recovery,High,translation claim contingent on AQFT/amplitude-locality layer,deferred-bridge,Continuum translation claim.,"Direct measurable gravitational/cosmological observables, not continuum field-equation recovery.",4
P3-012,P3,GR derivation (continuum translation of discrete layer),Field equation uniqueness (no Lovelock),BD theorem + P_{act} + LLC + d{=}4,DR,DR,GR-domain-recovery,High,,deferred-bridge,Continuum uniqueness claim.,"Direct measurable gravitational/cosmological observables, not continuum field-equation recovery.",4
P4-007,P4,Complexity hierarchy,\quad — Context 4 (actualization threshold \Delta S^*),Paper I D4U02 enumeration,CV,CV,complexity-life,Routine,,deferred-bridge,"ΔS* context belongs to the entropic bridge, not native core.",,4
P1-020,P1,"Coupling constants (previewed here, Paper II)",\alpha_s(m_Z)=1/\sqrt{72},d3\_alpha\_s\_proof.py,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,non-native,Running α_s is not an RA target under the framing discipline.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P1-024,P1,Predictions (falsifiable consequences),t^*=0.274/g spin-bath collapse,BDG integers + spin-bath model,DR,DR,benchmark-observable,Routine,,non-native,Spin-bath collapse constant is imported quantum-information machinery.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
P2-007,P2,Coupling constants,\alpha_s(m_Z)=1/\sqrt{72},BDG UV fixed point,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,non-native,Running α_s target is disallowed.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-008,P2,Coupling constants,\alpha_s^{IR}=1/3,BDG RG IR fixed point,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,non-native,"IR α_s is a theory-object target, not Nature-facing.","Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-020,P2,Mass cascade,f_0=17.32\times\alpha_s(2m_p)=5.40,BDG enumeration + ext.\ SM RG,"CV (0.3\%, w/ ext.\ input)",CV,QFT-domain-recovery; calculation-utility,High,,non-native,Uses α_s(2m_p) as external theoretical input.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-023,P2,Mass cascade,\mu_{QCD}=4.7118,"\exp(\sqrt{4\Delta S^*}), canonical D4U02",CV (0.03\%),CV,QFT-domain-recovery; calculation-utility,High,,non-native,μ_QCD naming/targeting remains QCD-framed; recast as an RA internal hadronic operating density.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-028,P2,Gauge structure,SU(3)_{col}\timesSU(2)\timesU(1),Sign mechanism + Berry identification,PI,PI,QFT-domain-recovery,High,,non-native,Gauge-group target forbidden by framing discipline.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-029,P2,Gauge structure,SU(3)_{col}\timesSU(3)_{gen} GUT,\mu\to\infty structural conjecture,CN,CN,QFT-domain-recovery,High,,non-native,GUT target forbidden by framing discipline.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P2-030,P2,Gauge structure,\sin^2\theta_W=3/8 at GUT scale,SU(5)-type embedding (if GUT holds),DR (conditional),DR,QFT-domain-recovery,High,,non-native,GUT-scale weak angle is a forbidden legacy target.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P3-018,P3,Dark matter as topology,f_0=17.32\times\alpha_s(2m_p)=5.40,BDG path weights + SM RG,CV (w/ ext.\ input),CV,GR-domain-recovery; benchmark-observable,High,,non-native,Depends on α_s(2m_p) external input.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P4-004,P4,Complexity hierarchy,\quad — Context 1 (QCD confinement),BDG path-weight enumeration (Paper II),CV,CV,complexity-life,Routine,,non-native,QCD confinement context is forbidden as a target.,"Measured masses, lifetimes, cross-sections, and interaction patterns from RA primitives alone.",5
P4-006,P4,Complexity hierarchy,\quad — Context 3 (QC error threshold p_{th}),KCB identification,PI,PI,complexity-life,Medium,,non-native,QC error-threshold context is imported quantum-information language.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
P4-014,P4,Causal Firewall,B3LYP support for F1,DFT computation (RACI supplement),CV (not re-audited in suite pass),CV,benchmark-observable; calculation-utility; complexity-life,High,currently tied to RACI supplement in Paper IV text,non-native,B3LYP/DFT support is explicitly external/legacy.,Rewrite against direct Nature observables rather than legacy theory objects.,5
P4-018,P4,Quantum information,KCB: N_{\max}=\eta/p_{th},Cumulative actualization rate,DR,DR,benchmark-observable; calculation-utility,High,current Paper IV scope note still points to RAQI/RAQM primacy,non-native,KCB formula is quantum-information imported language.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
P4-019,P4,Quantum information,Threshold decoherence behavior,Virtual/real distinction,Conjecture,CN,benchmark-observable,High,,non-native,Threshold decoherence in this form is quantum-information language.,Rewrite against direct Nature observables rather than legacy theory objects.,5
P4-020,P4,Quantum information,t^*=0.274/g (spin-bath collapse),Parameter-free from \Delta S^*,DR,DR,benchmark-observable; calculation-utility,High,,non-native,Spin-bath collapse constant is imported open-quantum-system machinery.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
P4-021,P4,Quantum information,Landauer bound \geq k_B T \ln 2,Actualization thermodynamics,DR,DR,benchmark-observable; calculation-utility,High,,non-native,Landauer target is imported information-theory machinery.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
P4-022,P4,Quantum information,Maxwell's demon dissolved,Information = actualization cost,DR,DR,benchmark-observable; calculation-utility,High,,non-native,Maxwell-demon framing is imported information-theory machinery.,"RA-internal coherence, disruption, and erasure-cost ceilings stated in graph/assembly language.",5
