paper,line,tag,snippet
P3,203,bridge-language,\textbf{Scope limit.} This proposition is DR-level: it identifies the continuum image of the LLC under the BD limit. It does \emph{not} constitute a machine-checked derivation of the Bianchi identity from RA primitives. 
P3,205,bridge-language,"\subsection{Lorentz invariance as the continuum image of causal invariance (DR, conditional)}"
P3,208,bridge-language,"A second long-standing concern is Lorentz invariance. The BDG action is covariant under the causal symmetries of the DAG (permutations of spacelike events, finite time-translations along the growth direction). In the con"
P3,212,bridge-language,"\begin{proposition}[Lorentz invariance as continuum image of causal invariance, DR conditional]"
P3,214,bridge-language,"The quantum measure $\mu_\sigma(S)$ is foliation-independent: for any two linear extensions $\sigma, \sigma'$ of the causal order with respect to observables $S$, $\mu_\sigma(S) = \mu_{\sigma'}(S)$. This is Lean-verified"
P3,217,bridge-language,The discrete causal invariance says: the order in which spacelike-separated events are declared to have occurred does not affect the quantum measure of any set of observables. The continuum Lorentz invariance says: physi
P3,219,bridge-language,"\textbf{Scope limit.} This is presented as a DR-level translation proposal, not a closed theorem chain. The discrete causal invariance is Lean-verified at the amplitude-locality layer; the continuum Lorentz covariance is"
P3,224,bridge-language,Earlier framings of RA used Lovelock's theorem---which requires a smooth $d=4$ manifold---to establish that the Einstein equations are the unique second-order tensorial field equations consistent with diffeomorphism inva
P3,228,bridge-language,"The field equation $G_{\mu\nu} = 8\pi G\, P_{\mathrm{act}}[T_{\mu\nu}]$ with $\Lambda = 0$ is the unique continuum field equation consistent with: (i)~the BDG uniqueness theorem, (ii)~the actualization projector $P_{\mat"
P3,228,quantum-state-language,"The field equation $G_{\mu\nu} = 8\pi G\, P_{\mathrm{act}}[T_{\mu\nu}]$ with $\Lambda = 0$ is the unique continuum field equation consistent with: (i)~the BDG uniqueness theorem, (ii)~the actualization projector $P_{\mat"
P3,231,bridge-language,"The framework does not require an independent derivation of Lorentz invariance in curved spacetime. Local Lorentz invariance is proposed as the continuum image of causal invariance (\S\ref{sec:lorentz_is_causal}), condit"
P3,236,bridge-language,The vacuum energy catastrophe---the $10^{120}$-fold discrepancy between QFT's vacuum energy prediction and the observed $\Lambda$---does not arise in RA. The actualization projector $P_{\mathrm{act}}$ removes unactualize
P3,236,quantum-state-language,The vacuum energy catastrophe---the $10^{120}$-fold discrepancy between QFT's vacuum energy prediction and the observed $\Lambda$---does not arise in RA. The actualization projector $P_{\mathrm{act}}$ removes unactualize
P3,240,legacy-target,\subsection{The WIMP prohibition}
P3,242,quantum-state-language,Any particle that does not participate in on-shell electromagnetic or strong interactions has zero RA assembly depth---it never crosses the actualization threshold through normal matter interactions. Within the RA sourci
P3,244,legacy-target,\begin{proposition}[WIMP exclusion within the RA sourcing scheme]
P3,245,legacy-target,"WIMPs, axions, and sterile neutrinos contribute zero weight to $P_{\mathrm{act}}[T_{\mu\nu}]$ and are therefore structurally excluded as gravitationally coupled dark matter candidates \emph{within} the RA $P_{\mathrm{act"
P3,248,bridge-language,The exclusion is as strong as the RA sourcing scheme itself. Closing the full $P_{\mathrm{act}}$-to-metric source bridge to the level of a theorem chain remains open (Papers~I and~II list the relevant audit items). Takin
P3,248,quantum-state-language,The exclusion is as strong as the RA sourcing scheme itself. Closing the full $P_{\mathrm{act}}$-to-metric source bridge to the level of a theorem chain remains open (Papers~I and~II list the relevant audit items). Takin
P3,255,legacy-target,The WIMP prohibition tells us what dark matter \emph{is not}: it is not a new particle species. This section develops what dark matter \emph{is} in RA: a consequence of topology change in the causal graph at low actualiz
P3,260,bridge-language,"In dense regions of the causal graph (galactic disks, stellar interiors), the Poisson-CSG parameter $\mu$ is close to or above unity. The graph is 4-dimensional: every vertex has ancestors at depths $N_1, N_2, N_3, N_4$ "
P3,266,bridge-language,"In regions where the local actualization density $\mu(x)$ falls below a critical threshold $\mu_c \sim 10^{-2}$, the effective graph dimension reduces from 4 to 2. The LLC at this scale operates on a 2-dimensional causal"
P3,326,bridge-language,"The prediction that distinguishes RA from standard GR is at \emph{very} large timescales: objects that have been causally isolated for $\gtrsim \tau_{\mathrm{eq}}$ might show small WEP violations, potentially testable wi"
P3,332,legacy-target,"f_0 = \frac{W_{\mathrm{other}}}{W_{\mathrm{baryon}}} \times \alpha_s(2m_p) = 17.32 \times 0.312 = 5.40,"
P3,338,bridge-language,consistent with the Planck value $\Omega_m \approx 0.315$. The derivation chain is entirely RA-native except for the $\alpha_s$ running (standard SM QCD RG from the UV fixed point $\alpha_s(m_Z) = 1/\sqrt{72}$).
P3,338,legacy-target,consistent with the Planck value $\Omega_m \approx 0.315$. The derivation chain is entirely RA-native except for the $\alpha_s$ running (standard SM QCD RG from the UV fixed point $\alpha_s(m_Z) = 1/\sqrt{72}$).
P3,351,bridge-language,"Severance replaces singularities. Where GR predicts infinite curvature (black hole interiors, the Big Bang), RA predicts causal termination: regions where the actualization density $\mu$ exceeds the saturation threshold "
P3,456,bridge-language,"\textbf{This is the RA-native ``area law.''} The boundary vertex count $N_\partial$ IS the discrete boundary size---not an approximation to a continuum area, but the boundary size itself in RA-native units. The further q"
P3,478,bridge-language,"The kernel saturation theorem provides the bridge: at horizon densities ($\mu\ll 1$), the BDG filter is inert ($\TV\approx 0$), so the unfiltered Poisson-CSG geometric constant applies directly."
P3,521,legacy-target,$<1.25$ & Spatial expansion & Selective & $\checkmark$ (Thm~\ref{thm:drift}) \\
P3,522,legacy-target,$\approx 1.25$ & Drift reversal & Transition & $\checkmark$ (crossover) \\
P3,523,legacy-target,$3$--$5$ & Maximum selectivity & $\Dkl\approx 0.9$ & $\checkmark$ (Thm~\ref{thm:kl}) \\
P3,524,legacy-target,$5$--$7$ & Filter weakening & $\TV$ declining & $\checkmark$ (MC) \\
P3,525,legacy-target,$7$--$10$ & Near saturation & $\Dkl<0.3$ & $\checkmark$ (Thm~\ref{thm:saturation}) \\
P3,526,legacy-target,$>10$ & Saturation $\to$ severance & $\TV=0$ & $\checkmark$ (Thm~\ref{thm:saturation}) \\
P3,590,bridge-language,(a)~\emph{BDG $\to$ Einstein--Hilbert.} The $d=4$ BDG causal set action converges to the Einstein--Hilbert action in the continuum limit~\cite{Benincasa2010} (published theorem).
P3,592,bridge-language,"(b)~\emph{$P_{\mathrm{act}}\to\Lambda=0$.} The actualization projector removes virtual (off-shell) contributions from the stress-energy tensor. The QFT vacuum energy comes entirely from virtual processes ($\Delta S=0$), "
P3,592,quantum-state-language,"(b)~\emph{$P_{\mathrm{act}}\to\Lambda=0$.} The actualization projector removes virtual (off-shell) contributions from the stress-energy tensor. The QFT vacuum energy comes entirely from virtual processes ($\Delta S=0$), "
P3,594,bridge-language,"(c)~\emph{GR with $\Lambda=0\to$ two expansion regimes.} The Friedmann equation $H^2=(8\pi G/3)\rho$ with $\Lambda=0$ gives: empty regions ($\rho\to 0$): $a(t)\propto t$ (Milne, $q=0$); matter regions ($\rho>0$): $a(t)\p"
P3,608,bridge-language,"The corrected mechanism does not require the BDG filter to act at cosmic scales at all. The filter's role is indirect and foundational: it determines $d=4$ (BDG closure theorem), derives the Einstein--Hilbert action~\cit"
P3,733,bridge-language,"Frame independence (finite-dim, AQFT layer) & Lean 4 + AQFT & LV conditional$^\dagger$ \\"
P3,734,bridge-language,Rindler stationarity / Unruh (AQFT layer) & Lean 4 + AQFT & LV conditional$^\dagger$ \\
P3,736,bridge-language,\multicolumn{3}{l}{\textit{GR derivation (continuum translation of discrete layer)}} \\
P3,739,bridge-language,Bianchi as continuum image of LLC & BD limit of LLC & DR (translation claim) \\
P3,740,bridge-language,Lorentz as continuum image of causal invariance & BD limit of discrete causal invariance & DR conditional$^\dagger$ \\
P3,744,legacy-target,WIMP exclusion within $P_{\mathrm{act}}$ sourcing & $P_{\mathrm{act}}$ structure & DR \\
P3,749,bridge-language,$f_0=17.32\times\alpha_s(2m_p)=5.40$ & BDG path weights + SM RG & CV (w/ ext.\ input) \\
P3,749,legacy-target,$f_0=17.32\times\alpha_s(2m_p)=5.40$ & BDG path weights + SM RG & CV (w/ ext.\ input) \\
P3,787,bridge-language,"\textbf{Legend:} LV = Lean-verified theorem. LV conditional$^\dagger$ = Lean-verified at stated layer, but inherits one live \texttt{sorry} and/or the \texttt{vacuum\_lorentz\_invariant} QFT axiom from the Paper~I AQFT l"
P3,794,bridge-language,"This paper has developed the macroscopic sector of Relational Actualism from a common discrete core: the $d=4$ BDG growth law, the actualization projector, causal severance, and the discrete-to-continuum translation dict"
P3,796,bridge-language,"Within that framework, three results are the strongest. First, gravity is treated as the large-scale description of the actualization graph in $d=4$, with the cosmological constant set structurally to zero by the actuali"
P3,802,bridge-language,"The broader significance of the paper is thus not that every macroscopic phenomenon has already been fully derived, but that gravity, entropy, cosmology, and black-hole structure can now be organized by a single RA-nativ"
P3,804,bridge-language,"Several open targets remain. On the entropy side, the discrete boundary law is established, but the precise continuum coefficient remains a translation problem. On the cosmological side, the EdS$\to$Milne transition hist"
P3,806,bridge-language,"For now, the paper's strongest claim is more modest and, for that reason, more durable: a finite discrete theory with causal severance, a severed-link entropy observable, and structurally vanishing $\Lambda$ can already "
P4,141,bridge-language,"The Relational Actualism programme began with the claim that irreversible actualization events are the primitive physical reality. Papers~I--III develop the consequences of this commitment, filtered through the BDG integ"
P4,152,bridge-language,"These are not five independent coincidences. They are five proposed expressions of the same geometric fact: the Poisson-CSG graph at $\mu=1$ is at the edge of connectivity. The five contexts differ, however, in how fully"
P4,236,quantum-state-language,\subsection{The on-shell bath identification}
P4,240,quantum-state-language,"\item \textbf{Vibrational (optical phonon) bath:} $\tau_c=\tau_{\mathrm{vib}}\approx 20$\,fs, $\hbar\omega_{\mathrm{vib}}/(k_BT)\approx 0.76$--$2.5$. These modes are on-shell ($\hbar\omega \gtrsim k_BT\Delta S^*$)."
P4,252,quantum-state-language,"This is the vibrational decoherence timescale. It is not a free parameter: $\Delta S^*=0.601$ is determined by the BDG integers, $\Gamma_{\mathrm{opt}}=k_BT/\hbar$ is determined by temperature, and $\Delta S_{\mathrm{per"
P4,310,legacy-target,\subsection{Computational evidence from DFT calculations}
P4,311,legacy-target,\label{sec:dft}
P4,313,legacy-target,The F1 condition (quantum Darwinism redundancy) can be tested computationally via density functional theory (DFT) calculations on small prebiotic molecules. Using B3LYP/6-311+G* calculations on a representative set of pr
P4,317,legacy-target,"These DFT results, combined with the non-Markovian decoherence analysis (\S\ref{sec:decoherence}), give quantitative support for the Causal Firewall conditions in the RNA-world parameter range. The computational protocol"
P4,319,legacy-target,\paragraph{Audit status of the DFT/F1 artifact.} The B3LYP/6-311+G* protocol and the specific $R_{\mathrm{QD}}$ values for the representative molecule set are claimed at the CV (computation-verified) tier on the basis of
P4,342,legacy-target,"\textbf{Computational evidence.} B3LYP/6-311+G* density functional theory calculations supporting Condition~F1 have been performed for small prebiotic molecules, verifying that the quantum Darwinism redundancy parameter "
P4,351,legacy-target,"\paragraph{Scope note.} The results in this section---the Kinematic Coherence Bound, the spin-bath collapse timescale $t^*=0.274/g$, the Landauer bound, and the Maxwell's demon analysis---are inherited from the RAQI and "
P4,351,quantum-state-language,"\paragraph{Scope note.} The results in this section---the Kinematic Coherence Bound, the spin-bath collapse timescale $t^*=0.274/g$, the Landauer bound, and the Maxwell's demon analysis---are inherited from the RAQI and "
P4,376,quantum-state-language,"RA predicts qualitatively different decoherence below and above the on-shell threshold $\Delta S^*$. Below the threshold, environmental interactions do not actualize and therefore do not contribute to decoherence. Above "
P4,378,quantum-state-language,\begin{conjecture}[Virtual/real distinction for QEC]
P4,379,quantum-state-language,Operating qubits in a regime where the qubit--environment coupling energy is below the on-shell threshold $\Delta S^* \cdot k_B T \approx 0.601 k_B T$ should produce qualitatively suppressed decoherence---not just quanti
P4,384,quantum-state-language,\subsection{Spin-bath collapse timescale}
P4,387,quantum-state-language,"For a quantum system coupled to a spin bath with externally measured coupling strength $g$, RA predicts a specific timescale for wave function collapse:"
P4,394,quantum-state-language,"This distinguishes RA from GRW (Ghirardi--Rimini--Weber) and CSL (continuous spontaneous localization) collapse models, which predict observable collapse timescales with different parameter dependences. Superconducting c"
P4,396,legacy-target,\subsection{Landauer's principle from the causal DAG}
P4,397,legacy-target,\label{sec:landauer}
P4,399,legacy-target,"Landauer's principle states that erasing one bit of information requires dissipating at least $k_B T \ln 2$ of heat. In RA, this follows directly from the causal graph structure."
P4,403,legacy-target,"The thermodynamic cost of one actualization event at temperature $T$ is $k_B T \Delta S^* \approx 0.6 k_B T$. For a process that overwrites information rather than creating it, the cost must be at least $k_B T \ln 2 \app"
P4,405,legacy-target,\begin{proposition}[RA derivation of Landauer bound]
P4,406,legacy-target,\label{prop:landauer}
P4,407,legacy-target,The Landauer bound $\Delta E \geq k_B T \ln 2$ per bit erased is the thermodynamic cost of actualization at the minimum non-trivial information content. It follows from the BDG actualization threshold $\Delta S^*$ applie
P4,410,legacy-target,\subsection{Maxwell's demon dissolved}
P4,411,legacy-target,\label{sec:maxwell}
P4,413,legacy-target,Maxwell's demon was a thought experiment designed to show that the second law of thermodynamics could be violated by an intelligent being sorting gas molecules by velocity. The standard resolution attributes the second l
P4,415,legacy-target,"In RA, the demon's information-processing cost is not a separate postulate: it is the actualization cost of the demon's observations and decisions. Each measurement the demon makes about a molecule is an actualization ev"
P4,513,bridge-language,\quad — Context 2 (galactic rotation/dim. reduction) & Paper~III continuum-bridge (DJW theorem) & DR conditional$^\dagger$ \\
P4,520,quantum-state-language,"$\tau_d=20$\,fs at $T=300$\,K & $\Delta S^*$ + on-shell bath & CV \\"
P4,524,legacy-target,B3LYP support for F1 & DFT computation (RACI supplement) & CV (not re-audited in suite pass) \\
P4,533,quantum-state-language,Threshold decoherence behavior & Virtual/real distinction & Conjecture \\
P4,534,quantum-state-language,$t^*=0.274/g$ (spin-bath collapse) & Parameter-free from $\Delta S^*$ & DR \\
P4,535,legacy-target,Landauer bound $\geq k_B T \ln 2$ & Actualization thermodynamics & DR \\
P4,536,legacy-target,Maxwell's demon dissolved & Information = actualization cost & DR \\
P4,591,legacy-target,"\bibitem{Landauer1961} R.~Landauer, ``Irreversibility and heat generation in the computing process,'' \emph{IBM J. Res. Dev.} \textbf{5}, 183 (1961)."
